Entry_ID,Source_ID,Type,Event_Date,Event_Type,Location_Depart_From,Location_Memo,Location_Arrive_To,Vessel_Name,Vessel_Type,Vessel_Additional_Description,Freight,Merchant_From_(By),Merchant_To,ADDITIONAL NOTES
A00000019,AG_18350123,Marine,1835-01-22,Arrival,NS-Halifax,,VA-Alex,Tay,Br. Schooner,Wilkie,plaister,,Fowle,
A00000020,AG_18400825,Marine,1840-08-24,Arrival,ME-Eastport,,VA-Alex,Eagle,Boat,Hall,plaister,,Cazenove,
A00000021,AG_18401202,Marine,1840-12-01,Arrival,ME-Lubec,MA-Boston,VA-Alex,Guest,Schooner,Higgins,plaister,,Fowle,
A00000022,AG_18411013,Marine,1841-10-12,Arrival,MA-Boston,,VA-Alex,Namshong,Schooner,Matthews,plaister,,Fowle,
A00000023,AG_18411013,Marine,1841-10-12,Arrival,MA-Boston,,VA-Alex,Saratoga,Schooner,Rodgers,plaister,,Fowle,
A00000024,AG_18411013,Marine,1841-10-12,Arrival,MA-Boston,,VA-Alex,Marion,Schooner,Smith,plaister,,to order,
A00000025,AG_18411013,Marine,1841-10-12,Arrival,MA-Boston,,VA-Alex,Albion,Schooner,Bray,plaister,,to order,
A00000026,AG_18411013,Marine,1841-10-12,Memoranda,ME-Eastport,MA-SouthWellfleet,MD-Baltimore,Gov. Francis,Schooner,Shaw,plaister,,,"Schr. Gov. Francis, (of Robinson,) Shaw, from Eastport for Baltimore, with plaster and grindstones, went ashore at South Wellfleet, about 6 P.M., 4th, and immediately went to pieces. Capt. Shaw and his three sons were drowned. Mr. John Spates drifted ashore on the bowsprit about midnight. He was nearly unconscious, but gained some pine woods, and there passed the rest of the night."
A00000027,AG_18420818,Marine,1842-08-17,Arrival,ME-Eastport,,VA-Alex,Warren,Schooner,Tarr,plaister,,Cazenove,also carrying laths
A00000028,AG_18420827,Marine,1842-08-26,Arrival,ME-Lubec,,VA-Alex,Gulmare,Brig,Tebbets,plaister,,Lam-McK,
A00000029,AG_18421015,Marine,1842-10-14,Arrival,Nova Scotia,,VA-Alex,Margaret & Elizabeth,Brig,Falkner,plaister,,Lam-McK,
A00000030,AG_18440409,Marine,1844-04-08,Arrival,ME-Portland,,VA-Alex,Abathula,Brig,Kelly,plaister,,Fowle,
A00000031,AG_18440409,Marine,1844-04-08,Arrival,NS-Halifax,,VA-Alex,Lucy,Schooner,Rogers,plaister,,Fowle,
A00000032,AG_18440409,Marine,1844-04-08,Arrival,ME-Lubec,,VA-Alex,Velocity,Schooner,Montgomery,plaister,,Cazenove,
A00000033,AG_18440409,Marine,1844-04-08,Arrival,ME-Thomaston,,VA-Alex,Susan Ludwig,Schooner,Curling,lime,,Lam-McK,
A00000034,AG_18440409,Marine,1844-04-08,Arrival,ME-Eastport,,VA-Alex,Lucretia,Schooner,Spotes,plaister,,Cazenove,also carrying laths
A00000035,AG_18440525,Marine,1844-05-24,Arrival,ME-Eastport,,VA-Alex,Pandora,Brig,Bailey,plaister,,Cazenove,also carrying laths
A00000036,AG_18440525,Marine,1844-05-24,Arrival,NS-Halifax,,VA-Alex,Favourite,Br. Brig,Masters,plaister,,Mast-Cox,
A00000037,AG_18440909,Marine,1844-09-07,Arrival,MA-Boston,,VA-Alex,Forest King,Schooner,Kelly,plaister,,Fowle,
A00000038,AG_18441024,Canal,1844-10-23,To Load (Arrived),MD-Hancock,,VA-Alex,Emily Harriett,Boat,,plaister,,,
A00000214,AG_18450414,Marine,1845-04-12,Arrival,MA-Boston,,VA-Alex,Virginia,Brig,Kendrick,plaister,,Fowle,also carried freight for the District
A00000215,AG_18450414,Marine,1845-04-12,Arrival,MA-Boston,,VA-Alex,Joseph,Schooner,Matthews,plaister,,Cazenove,
A00000039,AG_18450430,Canal,1845-04-29,Arrival,COCanal-71,,VA-Alex,Frank Thomas,Boat,,lime,,Waters-Zim,
A00000040,AG_18450430,Canal,1845-04-29,To Load (Arrived),VA-SmartsMill,,VA-Alex,Henrietta,Boat,,plaister,,,
A00000041,AG_18450524,Canal,1845-05-23,Arrival,MD-Sharpsburg,,VA-Alex,Jack Frost,Boat,,lime,,Rowe,also carrying flour
A00000042,AG_18450708,Marine,1845-07-08,Arrival,NB-StJohn,,VA-Alex,Joseph,Schooner,Mathews,plaister,,Cazenove,also carrying salt; cargo also for Wm. Fowle & Sons
A00000043,AG_18451029,Canal,1845-10-28,Departure,VA-Alex,,VA-HarpFrry,Andrew Jackson,Boat,,plaister,,,also carrying salt
A00000044,AG_18451029,Canal,1845-10-28,Departure,VA-Alex,,VA-HarpFrry,Charlotte,Boat,,plaister,,,also carrying salt
A00000045,AG_18451031,Canal,1845-10-30,Departure,VA-Alex,,COCanal-Dam4,James K. Polk,Boat,,plaister,,,
A00000046,AG_18451108,Marine,1845-11-07,Arrival,MA-Boston,,VA-Alex,Swan,Brig,Bray,plaister,,Lam-McK,also carrying freight for the District
A00000047,AG_18451111,Canal,1845-11-10,Departure,VA-Alex,,MD-ConradsFerry,Boxer,Boat,,plaister,,,
A00000048,AG_18451227,Marine,1845-12-26,Arrival,MA-Boston,,VA-Alex,Fair Play,Schooner,Cole,guano,,,
A00000049,AG_18460318,Canal,1846-03-17,Departure,VA-Alex,,VA-LoudounValley,Star,Boat,,plaister,Hooe-Pow,,also carrying salt
A00000050,AG_18460318,Canal,1846-03-17,Departure,VA-Alex,,VA-HarpFrry,General George Washington,Boat,,plaister,Fowle,,
A00000051,AG_18460320,Canal,1846-03-19,Departure,VA-Alex,,MD-Hancock,Tecumseh,Boat,,plaister,Fowle,,also carrying salt
A00000052,AG_18460424,Canal,1846-04-23,Departure,VA-Alex,,,,#N/A,,plaister,Fowle,,boat name and where it went are unknown
A00000053,AG_18460901,Marine,1846-08-31,Arrival,ME-Eastport,,VA-Alex,Arve,Brig,Wooster,plaister,,Cazenove,also carrying laths
A00000054,AG_18460907,Marine,1846-09-05,Arrival,ME-Lubec,,VA-Alex,Ariel,Brig,Atkins,plaister,,Fowle,
A00000055,AG_18461105,Canal,1846-11-04,Departure,VA-Alex,,MD-Williamsport,Charles,Boat,,plaister,McCormick,,"carried 60 sacks salt and 10 tons plaister, and other freight"
A00000056,AG_18470326,Canal,1847-03-25,Departure,VA-Alex,,VA-Leesburg,Ellen Douglass,Boat,,plaister,Wheat-Bros,,"boat carried ground plaister to Leesburg from J. J. Wheat & Brothers as well as groceries from McVeigh, Brother & Co."
A00000057,AG_18470928,Canal,1847-09-27,Departure,VA-Alex,,MD-Mercersville,Thomas G. Harris,Boat,,plaister,Fowle,,boat carried plaster from Fowle & groceries from McVeigh to Mercervile
A00000058,AG_18470928,Marine,1847-09-27,Arrival,NB-StJohn,,VA-Alex,P. I. Nevius,Br. Brig,Boddie,plaister,,Fowle,
A00000059,AG_18480218,Canal,1848-02-17,Departure,VA-Alex,,VA-Leesburg,Henrietta,Boat,,plaister,Cazenove,,
A00000060,AG_18480221,Canal,1848-02-19,Departure,VA-Alex,,VA-HarpFrry,Col. Crockett,Boat,,plaister,Lam-McK,,
A00000061,AG_18480224,Canal,1848-02-23,Departure,VA-Alex,,Busville,Oregon,Boat,,plaister,Cazenove,,
A00000062,AG_18480224,Canal,1848-02-23,Departure,VA-Alex,,MD-Mercersville,Thomas G. Harris,Boat,,plaister,Cazenove,,
A00000063,AG_18480306,Canal,1848-03-04,Departure,VA-Alex,,,Benjamin Franklin,Boat,,plaister,Fowle,,"unknown destination; the Boat Benjamin Franklin also carried drugs, paints, oils, &c. from Wm. Stabler & Bro."
A00000064,AG_18480313,Canal,1848-03-11,Arrival,VA-JeffersonCty,,VA-Alex,Napoleon Bonaparte,Boat,,lime stone,,Thomas-Dyer,
A00000065,AG_18480322,Canal,1848-03-21,Departure,VA-Alex,,Old Furnace,Ohio,Boat,,plaister,Fowle,,"boat carried groceries from McVeigh, Bro & Co. in addition to plaster from Fowle"
A00000066,AG_18480517,Canal,1848-05-16,Departure,VA-Alex,,VA-HarpFrry,Hugh Smith,Boat,,plaister,Cazenove,,boat also carried shingles from Waters & Zimmerman in addition to Cazenove's plaster
A00000067,AG_18480911,Marine,1848-09-09,Arrival,ME-Eastport,,VA-Alex,Susan Ingraham,Brig,Babbidge,plaister,,Cazenove,
A00000068,AG_18480911,Marine,1848-09-09,Arrival,ME-Eastport,,VA-Alex,Susan G. Bass,Brig,Winchester,plaister,,Fowle,carried fish as well to Fowle & Co.
A00000069,AG_18480916,Canal,1848-09-15,Departure,VA-Alex,,Old Furnace,Washington,Boat,,plaister,Fowle,,
A00000070,AG_18480920,Canal,1848-09-19,Departure,VA-Alex,,VA-Leesburg,Henrietta,Boat,,plaister,Cazenove,,"also carried groceries from Wm. Bayne, and groceries, boots, shoes, &c., from McVeigh Bro & Co. "
A00000071,AG_18480930,Marine,1848-09-29,Arrival,MA-Boston,,VA-Alex,Susan,Schooner,Bray,plaister,,Lam-McK,also carried sundries to Lambert & McKenzie
A00000072,AG_18481109,Canal,1848-11-08,Departure,VA-Alex,,VA-Shepherdstown,Diana,Boat,,plaister,McCormick,,"also carried groceries from McVeigh, Bro. & Co., and dry goods from Gregory & Adams"
A00000073,AG_18481124,Canal,1848-11-23,Departure,VA-Alex,,MD-Hancock,Neptune,Boat,,plaister,Fowle,,"also carried sack salt from Lambert & McKenzie, groceries &c. from McVeigh Bro & Co. and drygoods from Brent & Bryan"
A00000074,AG_18481206,Marine,1848-12-05,Arrival,NS-Maitland,,VA-Alex,Mayflower,Br. Brig,Douglass,plaister,,Fowle,
A00000075,AG_18481206,Marine,1848-12-05,Arrival,ME-Eastport,,VA-Alex,Rio,Schooner,Ober,plaister,,Cazenove,also carried laths to Cazenove
A00000213,AG_18481206,Canal,1850-12-05,Departure,VA-Alex,,VA-GooseCreek,Virginia,Boat,,plaister,,Powell-Son,also carried salt from Wm. L. Powell & Son
A00000076,AG_18481220,Canal,1848-12-19,Departure,VA-Alex,,MD-Williamsport,Henry Clay,Boat,,plaister,McCormick,,"also carried sack salt from T. M. McCormick & Co., groceries &c. from McVeigh, Bro. & Co., and dry goods from Gregory & Adams, for Hard Scrabble, VA"
A00000077,AG_18481220,Canal,1848-12-19,Departure,VA-Alex,,MD-Williamsport,Sarah Ellis,Boat,,plaister,Fowle,,
A00000078,AG_18481220,Marine,1848-12-19,Arrival,MA-Boston,,VA-Alex,Susan,Schooner,Bray,plaister,,Lam-McK,
A00000079,AG_18481220,Marine,1848-12-19,Arrival,NB-StJohn,,VA-Alex,Relief,Br. Schooner,,plaister,,Cazenove,
A00000080,AG_18481223,Marine,1848-12-22,Arrival,NB-StJohn,,VA-Alex,P. J. Nevius,Brig,Boddie,plaister,,Fowle,
A00000081,AG_18481223,Marine,1848-12-22,Arrival,ME-Eastport,,VA-Alex,Openango,Brig,Mathews,plaister,,Fowle,also carried laths to Fowle
A00000082,AG_18481229,Marine,1848-12-28,Arrival,MA-Boston,,VA-Alex,Julia Ann Rich,Schooner,Wright,plaister,,Lam-McK,also carried sundries to Lambert & McKenzie
A00000083,AG_18490104,Marine,1849-01-03,Arrival,ME-Eastport,,VA-Alex,Samuel French,Brig,Brown,plaister,,Cazenove,also carried fish & laths to Cazenove
A00000084,AG_18490215,Canal,1849-02-14,Departure,VA-Alex,,VA-HarpFrry,Dan Gett,Boat,,plaister,Fowle,,
A00000085,AG_18490215,Marine,1849-02-14,Arrival,ME-Eastport,,VA-Alex,Mary H. Chase,Schooner,Spates,plaister,,Cazenove,also carried laths to Cazenove
A00000086,AG_18490215,Marine,1849-02-14,Arrival,ME-Eastport,,VA-Alex,Roanoke,Schooner,Smith,plaister,,Cazenove,also carried laths to Cazenove
A00000087,AG_18490216,Canal,1849-02-15,Departure,VA-Alex,,VA-HarpFrry,Phineas Janney,Boat,,plaister,Fowle,,
A00000088,AG_18490226,Marine,1849-02-24,Arrival,MA-Boston,,VA-Alex,Flavilla,Schooner,Mathews,plaister,,Fowle,also carried sundries to Fowle & Co.
A00000089,AG_18490307,Canal,1849-03-06,Departure,VA-Alex,,VA-HarpFrry,Hugh Smith,Boat,,plaister,Fowle,,alsoe carried iron from James Dempsey
A00000090,AG_18490309,Canal,1849-03-08,Departure,VA-Alex,,VA-CatoctinCreek,Catoctin,Boat,,plaister,Fowle,,also carried lumber from Waters & Zimmerman
A00000091,AG_18490309,Canal,1849-03-08,Departure,VA-Alex,,VA-GooseCreek,General Washington,Boat,,plaister,Cazenove,,
A00000092,AG_18490309,Canal,1849-03-08,Departure,VA-Alex,,MD-EdwardsFerry,Experiment,Boat,,plaister,Lam-McK,,
A00000093,AG_18490310,Canal,1849-03-09,Departure,VA-Alex,,MD-NolandsFerry,General Scott,Boat,,plaister,Fowle,,
A00000094,AG_18490313,Marine,1849-03-12,Arrival,NS-Halifax,,VA-Alex,Emily,Br. Brig,Kinney,plaister,,Cazenove,also carried lumber to Cazenove
A00000095,AG_18490314,Canal,1849-03-13,Departure,VA-Alex,,VA-HarpFrry,Alexander Neill,Boat,,plaister,Fowle,,
A00000096,AG_18490319,Canal,1849-03-17,Departure,VA-Alex,,MD-NolandsFerry,General Scott,Boat,,plaister,Powell-Son,,
A00000097,AG_18490319,Canal,1849-03-17,Departure,VA-Alex,,VA-GooseCreek,General Washington,Boat,,plaister,HooeDF,,
A00000098,AG_18490319,Canal,1849-03-17,Departure,VA-Alex,,VA-GooseCreek,C. Eldridge,Boat,,plaister,HooeDF,,
A00000099,AG_18490324,Canal,1849-03-23,Departure,VA-Alex,,VA-HarpFrry,Alexander Neill,Boat,,plaister,Fowle,,
A00000100,AG_18490324,Canal,1849-03-23,Departure,VA-Alex,,VA-HarpFrry,Wells A. Haper,Boat,,plaister,Fowle,,
A00000101,AG_18490409,Canal,1849-04-07,Departure,VA-Alex,,VA-HarpFrry,Hugh Smith,Boat,,plaister,Fowle,,also carried sundries from sundry persons
A00000102,AG_18490410,Canal,1849-04-09,Departure,VA-Alex,,MD-ConradsFerry,Experiment,Boat,,plaister,Cazenove,,
A00000103,AG_18490412,Canal,1849-04-11,Departure,VA-Alex,,VA-Shepherdstown,Benjamin Franklin,Boat,,plaister,Fowle,,also carried salt and plaister from T. M. McCormick & Co.
A00000104,AG_18490413,Marine,1849-04-12,Arrival,MA-Newburyport,,VA-Alex,Fulton,Schooner,Jaques,plaister,,,"carried plaister, potatoes, apples, onions, &c., to master"
A00000105,AG_18490418,Canal,1849-04-17,Departure,VA-Alex,,VA-Shepherdstown,William,Boat,,plaister,Lam-McK,,also carried groceries for Staunton from Wm. Bayne
A00000106,AG_18490418,Canal,1849-04-17,Departure,VA-Alex,,VA-Shepherdstown,Belle,Boat,,plaister,Fowle,,
A00000107,AG_18490502,Marine,1849-05-01,Arrival,MA-Boston,,VA-Alex,Noble,Brig,Boothe,plaister,,Fowle,
A00000108,AG_18490504,Marine,1849-05-03,Arrival,ME-Eastport,,VA-Alex,Belle,Brig,Greenlow,plaister,,Cazenove,also carried laths and pickets to Cazenove
A00000109,AG_18490508,Marine,1849-05-07,Arrival,ME-Eastport,,VA-Alex,Nora,Brig,Jordan,plaister,,Fowle,"also carries laths, spars, boats, &c. to Fowle"
A00000110,AG_18490509,Canal,1849-05-08,Departure,VA-Alex,,VA-HarpFrry,Hugh Smith,Boat,,plaister,,,"carried plaister, laths, fish, &c., from sundry persons, groeries from Wm. Bayne, and groceries, &c. from McVeigh, Bro. & Co."
A00000111,AG_18490509,Marine,1849-05-09,Arrival,NS-Windsor,,VA-Alex,Emily,Br. Brig,Kenney,plaister,,Cazenove,
A00000112,AG_18490514,Canal,1849-05-12,Departure,VA-Alex,,VA-HarpFrry,Wells A. Haper,Boat,,plaister,Lam-McK,,also carried fish from R. C. Barton
A00000113,AG_18490514,Marine,1849-05-12,Departure,VA-Alex,,NC-NewBern,Ontario,Schooner,Wallace,lime,Thomas-Dyer,,
A00000114,AG_18490515,Marine,1849-05-14,Arrival,ME-Eastport,,VA-Alex,Samuel French,Brig,Brown,plaister,,Cazenove,also carried laths to Cazenove
A00000115,AG_18490517,Canal,1849-05-16,Departure,VA-Alex,,MD-Williamsport,Henry Clay,Boat,,plaister,McCormick,,"also carried salt, &c. from McCormick for Williamsport, MD"
A00000116,AG_18490522,Marine,1849-05-21,Arrival,ME-Eastport,,VA-Alex,Siroc,Brig,,plaister,,Cazenove,also carried lumber to Cazenove
A00000117,AG_18490523,Canal,1849-05-22,Departure,VA-Alex,,VA-GooseCreek,General Washington,Boat,,plaister,Cazenove,,also carried lumber from Waters & Zimmerman
A00000118,AG_18490529,Marine,1849-05-28,Arrival,NY-NewYork,,VA-Alex,Peerless,Schooner,Conklin,guano,,Thomas-Dyer,
A00000119,AG_18490530,Canal,1849-05-29,Departure,VA-Alex,,VA-GooseCreek,P. F. Thomas,Boat,,plaister,Cazenove,,also carried lumber from Waters & Zimmerman and James Green
A00000120,AG_18490607,Canal,1849-06-06,Departure,VA-Alex,,VA-HarpFrry,Hugh Smith,Boat,,plaister,Fowle,,also carried lumber from Waters & Zimmerman and sundries from sundry persons
A00000121,AG_18490615,Marine,1849-06-11,Arrival,ME-Eastport,,VA-Alex,Itaska,Brig,Bailey,plaister,,Cazenove,also carried laths and pickets to Cazenove
A00000122,AG_18490616,Canal,1849-06-15,Departure,VA-Alex,,MD-Mercersville,Thomas G. Harris,Boat,,plaister,Cazenove,,
A00000123,AG_18490630,Marine,1849-06-29,Arrival,MA-Boston,,VA-Alex,Joseph Farwell,Schooner,Alexander,plaister,,Fowle,also carried sundries to Fowle & Co.
A00000124,AG_18490721,Marine,1849-07-20,Arrival,NY-NewYork,,VA-Alex,Stella,Barque,Littlefield,plaister,,Fletcher,
A00000125,AG_18490806,Marine,1849-08-04,Arrival,MA-Boston,,VA-Alex,Joseph Farwell,Schooner,Torrey,plaister,,Fowle,
A00000126,AG_18490809,Marine,1849-08-08,Arrival,ME-Eastport,,VA-Alex,Itaska,Brig,Bailey,plaister,,Cazenove,also carried fish to Cazenove
A00000127,AG_18490820,Canal,1849-08-18,Departure,VA-Alex,,VA-LoudounValley,Star,Boat,,plaister,HooeDF,,"alsoe carried sack salt and Spanish hides from D. F. Hooe, lumber from Waters & Zimmerman, and sundries from sundry persons"
A00000128,AG_18490821,Marine,1849-08-20,Arrival,ME-Eastport,,VA-Alex,Nora,Brig,Jordon,plaister,,Fowle,also carried laths to Fowle
A00000129,AG_18490824,Marine,1849-08-23,Arrival,ME-Eastport,,VA-Alex,Z. A. Paine,Schooner,Wooster,plaister,,Cazenove,
A00000130,AG_18490828,Marine,1849-08-27,Arrival,NB-StJohn,,VA-Alex,Falcon,Schooner,Cole,plaister,,Cazenove,
A00000131,AG_18490908,Marine,1849-09-07,Arrival,ME-Portland,,VA-Alex,Eliza Taylor,Brig,Eldridge,plaister,,Lam-McK,
A00000132,AG_18490925,Canal,1849-09-24,Departure,VA-Alex,,MD-Knoxville,John P. Garrott,Boat,,plaister,Wheat-Bros,,"also carried rye, &c. from J. J. Wheat & Bros, sack salt from Fowle, and sundries from sundry persons"
A00000133,AG_18490926,Canal,1849-09-25,Departure,VA-Alex,,VA-Leesburg,Virginia,Boat,,plaister,,,"lumber from Waters & Zimmerman, and Smoot & Uhler, coal and shingles from J. L. Pascoe, plaister and anthracite coal, &c., from sundry persons"
A00000134,AG_18490927,Marine,1849-09-26,Arrival,MD-Baltimore,,VA-Alex,John,Schooner,Duling,guano,,Masters,also carried corn meal to S. S. Masters & Son
A00000135,AG_18490929,Marine,1849-09-28,Arrival,ME-Thomaston,,VA-Alex,Lucy Spear,Brig,Robbins,lime,,Lam-McK,also carried cargo to Jamieson & Son
A00000136,AG_18491002,Marine,1849-10-01,Arrival,NB-StJohn,,VA-Alex,Ellis,Br. Brig,Fitch,plaister,,Cazenove,
A00000137,AG_18491006,Canal,1849-10-05,Departure,VA-Alex,,VA-GooseCreek,General Washington,Boat,,plaister,Cazenove,,"also carried coal from J. L. Pascoe, spanish hides from D. F. Hooe, shingles from Waters & Zimmerman, hardware from J. A. English, and sundries from sundry persons"
A00000138,AG_18491012,Marine,1849-10-11,Arrival,NB-StJohn,,VA-Alex,Emily,Br. Brig,Fritz,plaister,,Cazenove,also carried lumber to Cazenove
A00000139,AG_18491018,Marine,1849-10-17,Arrival,ME-Eastport,,VA-Alex,Delhi,Brig,Hodgson,plaister,,Cazenove,
A00000140,AG_18491018,Canal,1849-10-17,Departure,VA-Alex,,VA-GooseCreek,Virginia,Boat,,plaister,HooeDF,,"also carried sack salt from George Kepheart, groceries from Wm. Bayne, and hardware from James A. English"
A00000141,AG_18491019,Canal,1849-10-18,Departure,VA-Alex,,MD-Williamsport,Belle,Boat,,plaister,Cazenove,,"also carried sack salt from Cazenove, sack salt from J. B. Daingerfield, lumber from Waters & Zimmerman, and groceries from Wm. Bayne"
A00000142,AG_18491019,Canal,1849-10-18,Departure,VA-Alex,,VA-GooseCreek,Virginia,Boat,,plaister,Powell-Son,,"also carried sack salt from Cazenove, sundries from Wm. Bayne and others"
A00000143,AG_18491023,Marine,1849-10-22,Arrival,NY-NewYork,,VA-Alex,Susan,Schooner,Bray,guano,,Thomas-Dyer,"also carried hay to S. S. Masters & Son, and stone for Washington"
A00000144,AG_18491027,Canal,1849-10-26,Departure,VA-Alex,,MD-Hancock,Neptune,Boat,,plaister,Cazenove,,"also carried plaster from Fowle, sack salt from D. B. Smith, sundries from sundry persons,  groceries from McVeigh Bro. & Co., and hardware from James A. English"
A00000145,AG_18491106,Canal,1849-11-05,Departure,VA-Alex,,VA-HarpFrry,Dan Gett,Boat,,plaister,Fowle,,
A00000146,AG_18491109,Marine,1849-11-08,Arrival,ME-Eastport,,VA-Alex,Nora,Brig,Jordan,plaister,,Fowle,also carried laths to Fowle
A00000147,AG_18491109,Marine,1849-11-08,Arrival,ME-Eastport,,VA-Alex,Albion,Schooner,Allen,plaister,,Cazenove,
A00000148,AG_18491110,Marine,1849-11-09,Arrival,ME-Eastport,,VA-Alex,Antoinette,Brig,Brown,plaister,,Cazenove,
A00000149,AG_18491110,Canal,1849-11-09,Departure,VA-Alex,,VA-HarpFrry,Old Zack,Boat,,plaister,Fowle,,
A00000150,AG_18491112,Canal,1849-11-10,Departure,VA-Alex,,VA-Leesburg,Virginia,Boat,,plaister,HooeDF,,"also carried plaster from Cazenove AND lumber from James Green, queensware from R. H. Miller, drugs from Cook & Peel"
A00000151,AG_18491114,Canal,1849-11-13,Departure,VA-Alex,,MD-Hancock,Neptune,Boat,,plaister,Fowle,,also carried sack salt from Fowle and hardware from J. A. English
A00000152,AG_18491115,Canal,1849-11-14,Departure,VA-Alex,,VA-HarpFrry,Hugh Smith,Boat,,plaister,Fowle,,also carried sundries from sundry persons
A00000153,AG_18491117,Canal,1849-11-16,Departure,VA-Alex,,VA-Shepherdstown,Ohio,Boat,,plaister,Cazenove,,
A00000154,AG_18491120,Marine,1849-11-19,Arrival,ME-Eastport,,VA-Alex,S. G. Bass,Brig,McLoughlin,plaister,,Fowle,also carried lumber and fish to Fowle
A00000155,AG_18491120,Marine,1849-11-19,Arrival,NS-Windsor,,VA-Alex,Commerce,Br. Brig,Card,plaister,,Lam-McK,
A00000156,AG_18491121,Canal,1849-11-20,Departure,VA-Alex,,VA-GooseCreek,Virginia,Boat,,plaister,Cazenove,,also carried lumber from Waters & Zimmerman
A00000157,AG_18491121,Canal,1849-11-20,Departure,VA-Alex,,VA-HarpFrry,Phineas Janney,Boat,,plaister,Fowle,,"also carried groceries, boots, shoes &c. for Prunty Town, Va., via Cumberland, from McVeigh Bro. & Co.,"
A00000158,AG_18491127,Marine,1849-11-26,Arrival,ME-Portland,,VA-Alex,Richmond,Brig,McKenzie,plaister,,Fowle,
A00000159,AG_18491207,Canal,1849-12-06,Departure,VA-Alex,,MD-Williamsport,Charles,Boat,,plaister,Fowle,,"also carried sack salt from Lambert & McKenzie, iron from James Dempsey, and sundries from sundry persons"
A00000160,AG_18491208,Canal,1849-12-07,Departure,VA-Alex,,MD-Williamsport,John Lymbve,Boat,,plaister,Lam-McK,,
A00000161,AG_18491218,Canal,1849-12-17,Departure,VA-Alex,,MD-Knoxville,John P. Garrott,Boat,,plaister,Lam-McK,,"also carried lumber from Waters & Zimmerman, and groceries from Wm. Bayne"
A00000162,AG_18491222,Canal,1849-12-21,Departure,VA-Alex,,VA-GooseCreek,John Glenn,Boat,,plaister,HooeDF,,"also carried iron by James Dempsey, lumber and coal from James Green & Son"
A00000163,AG_18500123,Marine,1850-01-20,Arrival,ME-Eastport,,VA-Alex,D. Phillips,Schooner,Small,plaister,,Cazenove,also carried fish to Cazenove
A00000164,AG_18500126,Marine,1850-01-25,Arrival,NB-StJohn,,VA-Alex,Relief,Br. Schooner,Fritz,plaister,,Cazenove,also carried lumber to Cazenove
A00000165,AG_18500321,Canal,1850-03-19,Departure,VA-Alex,,MD-Williamsport,Benjamin Franklin,Boat,,plaister,McCormick,,"also carried mackerel, &c. from McCormick"
A00000166,AG_18500415,Marine,1850-04-13,Arrival,NB-StJohn,,VA-Alex,Peter I. Nevius,Br. Brig,Boddie,plaister,,Fowle,also carried lumber to Fowle
A00000167,AG_18500420,Marine,1850-04-19,Arrival,NY-NewYork,,VA-Alex,Charles D. Hallock,Schooner,Davis,guano,,Powell-Son,
A00000168,AG_18500423,Marine,1850-04-22,Arrival,MA-Boston,,VA-Alex,D. Phillips,Schooner,Small,plaister,,Cazenove,also carried laths to Cazenove
A00000169,AG_18500502,Marine,1850-05-01,Arrival,NS-Windsor,,VA-Alex,Windsor,Br. Schooner,Francis,plaister,,Fowle,
A00000170,AG_18500502,Canal,1850-05-01,Departure,VA-Alex,,MD-Hancock,Neptune,Boat,,plaister,Fowle,,"Boat Nepture, groceries, boots, shoes, hats, &c., for Hancock and Williamsport, Md., from McVeigh Bro. & Co., and plaister, salt, &c., from Fowle & Co."
A00000171,AG_18500507,Canal,1850-05-06,Departure,VA-Alex,,MD-ConradsFerry,Experiment,Boat,,plaister,Fowle,,"also carried lumber from James Green & Son, and lumber from Waters & Zimmerman"
A00000172,AG_18500523,Canal,1850-05-22,Departure,VA-Alex,,MD-ConradsFerry,Experiment,Boat,,plaister,Fowle,,also carried lumber from Waters & Zimmerman
A00000173,AG_18500528,Marine,1850-05-27,Arrival,MA-Newburyport,,VA-Alex,Fulton,Schooner,Jacques,plaister,,Fowle,also carried potatoes and apples to Fowle
A00000174,AG_18500625,Marine,1850-06-24,Arrival,ME-Eastport,,VA-Alex,S. G. Bass,Brig,McLaughlin,plaister,,Fowle,also carried lumber to Fowle 
A00000175,AG_18500716,Marine,1850-07-13,Arrival,NS-Windsor,,VA-Alex,Mayflower,Br. Brig,Cochran,plaister,,Lam-McK,
A00000176,AG_18500724,Marine,1850-07-23,Memoranda,PE-Chincha,VA-HamptonRoads,VA-Alex,Jane Parker,Ship,Jordan,guano,,,"""In Hampton Roads, ship Jane Parker, Jordan, from Chincha Islands, with Guano, bound to this port."""
A00000177,AG_18500730,Marine,1850-07-29,Arrival,PE-Chincha,,VA-Alex,Jane Parker,Ship,Jordan,guano,,Fowle,
A00000178,AG_18500809,Canal,1850-08-08,Departure,VA-Alex,,VA-Leesburg,Atlantic,Boat,,guano,Fowle,,"also carried groceries from McVeigh, Bro. & Co. and lumber from James Green"
A00000179,AG_18500817,Marine,1850-08-16,Arrival,NB-StJohn,,VA-Alex,P. I. Nevius,Brig,Boddie,plaister,,Fowle,also carried lumber to Fowle
A00000180,AG_18500817,Canal,1850-08-16,Arrival,VA-HarpFrry,,VA-Alex,E. Payson,Boat,,limestone,,Thomas-Dyer,
A00000181,AG_18500824,Canal,1850-08-23,Departure,VA-Alex,,MD-Berlin,Rough and Ready,Boat,,plaister,Fowle,,"also carried groceries &c. for Petersville, Jefferson, and Burkettsville, MD from McVeigh Bro & Co., and lumber from Waters & Zimmerman"
